reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"92","batch-02","fc-5544","David","A","Pc","JUV","Juventus","5544","13","28","real mappine","David Juventus fbref","https://fbref.com/en/search/search.fcgi?search=David%20Juventus%20fbref","","","","needs-review","",""
"93","batch-02","fc-5885","Dodò","D","E","FIO","Fiorentina","5885","10","30","Ac Milan","Dodò Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Dod%C3%B2%20Fiorentina%20fbref","","","","needs-review","",""
"94","batch-02","fc-5792","Ederson D.S.","C","M/C","ATA","Atalanta","5792","13","30","Prestige Worldwide","Ederson D.S Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Ederson%20D.S%20Atalanta%20fbref","","","","needs-review","",""
"95","batch-02","fc-4465","Fagioli","C","C","FIO","Fiorentina","4465","11","35","FC DueFratelli2005","Fagioli Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Fagioli%20Fiorentina%20fbref","","","","needs-review","",""
"96","batch-02","fc-6766","Kelly L.","D","Ds/Dc","JUV","Juventus","6766","11","27","real mappine","Kelly L Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Kelly%20L%20Juventus%20fbref","","","","needs-review","",""
"97","batch-02","fc-7129","Rodriguez Je.","A","W/A","COM","Como","7129","15","27","Afc Severgas Baronissi","Rodriguez Je Como fbref","https://fbref.com/en/search/search.fcgi?search=Rodriguez%20Je%20Como%20fbref","","","","needs-review","",""
"98","batch-02","fc-5514","Vasquez","D","Ds/Dc","GEN","Genoa","5514","11","26","River Plaid","Vasquez Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Vasquez%20Genoa%20fbref","","","","needs-review","",""
"99","batch-02","fc-6164","Vitinha O.","A","Pc","GEN","Genoa","6164","13","20","real mappine","Vitinha O Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Vitinha%20O%20Genoa%20fbref","","","","needs-review","",""
"100","batch-02","fc-5422","Zalewski","C","E/W","ATA","Atalanta","5422","14","19","Real Pisistrius","Zalewski Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Zalewski%20Atalanta%20fbref","","","","needs-review","",""
"101","batch-03","fc-554","Zappacosta","D","E","ATA","Atalanta","554","12","18","River Plaid","Zappacosta Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Zappacosta%20Atalanta%20fbref","","","","needs-review","",""
"102","batch-03","fc-6664","Delprato","D","B/Dd/E","PAR","Parma","6664","10","22","FC DueFratelli2005","Delprato Parma fbref","https://fbref.com/en/search/search.fcgi?search=Delprato%20Parma%20fbref","","","","needs-review","",""
"103","batch-03","fc-4364","Gaetano","C","T","CAG","Cagliari","4364","13","15","FC DueFratelli2005","Gaetano Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Gaetano%20Cagliari%20fbref","","","","needs-review","",""
"104","batch-03","fc-6898","Keita M.","C","M/C","PAR","Parma","6898","11","18","As Paperopoli","Keita M Parma fbref","https://fbref.com/en/search/search.fcgi?search=Keita%20M%20Parma%20fbref","","","","needs-review","",""
"105","batch-03","fc-4957","Montipò","P","Por","VER","Verona","4957","12","5","Ac Milan","Montipò Verona fbref","https://fbref.com/en/search/search.fcgi?search=Montip%C3%B2%20Verona%20fbref","","","","needs-review","",""
"106","batch-03","fc-6462","Okoye","P","Por","UDI","Udinese","6462","14","14","Ac Milan","Okoye Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Okoye%20Udinese%20fbref","","","","needs-review","",""
