playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-2816,2816,Di Lorenzo,D,Dd/E,NAP,Afc Severgas Baronissi,230a2fac,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2521,2521,De Gea,P,Por,FIO,River Plaid,7ba6d84e,David de Gea,https://fbref.com/en/players/7ba6d84e/David-de-Gea,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7129,7129,Rodriguez Je.,A,W/A,COM,Afc Severgas Baronissi,f9f74e43,Jesus Rodríguez,https://fbref.com/en/players/f9f74e43/Jesus-Rodriguez,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6766,6766,Kelly L.,D,Ds/Dc,JUV,real mappine,f31def1e,Lloyd Kelly,https://fbref.com/en/players/f31def1e/Lloyd-Kelly,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-779,779,Cristante,C,M/C,ROM,Afc Severgas Baronissi,16657b95,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5514,5514,Vasquez,D,Ds/Dc,GEN,River Plaid,5eaed77a,Johan Vásquez,https://fbref.com/en/players/5eaed77a/Johan-Vasquez,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5455,5455,Moreo,A,A,PIS,Ac Milan,7c52943c,Stefano Moreo,https://fbref.com/en/players/7c52943c/Stefano-Moreo,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5674,5674,Basic,C,C,LAZ,Beetlejuice,80556f08,Toma Bašić,https://fbref.com/en/players/80556f08/Toma-Basic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-632,632,Zaccagni,C,W/A,LAZ,Ac Milan,d85c238b,Mattia Zaccagni,https://fbref.com/en/players/d85c238b/Mattia-Zaccagni,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6989,6989,Tiago Gabriel,D,Dc,LEC,Beetlejuice,19452285,Tiago Gabriel,https://fbref.com/en/players/19452285/Tiago-Gabriel,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4807,4807,Hermoso,D,Dc,ROM,real mappine,555f3a0b,Mario Hermoso,https://fbref.com/en/players/555f3a0b/Mario-Hermoso,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4734,4734,Miranda J.,D,Ds/E,BOL,As Paperopoli,ead61f73,Juan Miranda,https://fbref.com/en/players/ead61f73/Juan-Miranda,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6556,6556,Noslin,A,A,LAZ,As Paperopoli,2f067cf2,Tijjani Noslin,https://fbref.com/en/players/2f067cf2/Tijjani-Noslin,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-530,530,Pellegrini Lo.,C,C/T,ROM,FC DueFratelli2005,4a5a45c7,Lorenzo Pellegrini,https://fbref.com/en/players/4a5a45c7/Lorenzo-Pellegrini,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6646,6646,Adams C.,A,A,TOR,Real Pisistrius,f2bf1b0f,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6439,6439,Cheddira,A,Pc,LEC,,0545a08e,Walid Cheddira,https://fbref.com/en/players/0545a08e/Walid-Cheddira,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
