playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-2531","Lukaku","A","Pc","NAP","2531","","","unmapped",""
"fc-479","Sanabria","A","Pc","CRE","479","","","unmapped",""
"fc-441","Belotti","A","Pc","CAG","441","","","unmapped",""
"fc-313","Morata","A","Pc","COM","313","","","unmapped",""
"fc-7203","Jashari","C","C","MIL","7203","","","unmapped",""
"fc-7145","Piccinini G.","C","E/M","PIS","7145","","","unmapped",""
"fc-6815","Fadera","C","W","SAS","6815","","","unmapped",""
"fc-6575","Zaragoza","C","W/A","ROM","6575","","","unmapped",""
"fc-6458","Serdar","C","C","VER","6458","","","unmapped",""
"fc-6218","Oristanio","C","W/T/A","PAR","6218","","","unmapped",""
"fc-6024","Sulemana I.","C","M/C","CAG","6024","","","unmapped",""
"fc-6020","Ellertsson","C","C/W","GEN","6020","","","unmapped",""
"fc-6010","Fazzini","C","C/T","FIO","6010","","","unmapped",""
"fc-5688","Harroui","C","W/T","VER","5688","","","unmapped",""
"fc-5318","Tramoni M.","C","W/T","PIS","5318","","","unmapped",""
"fc-5286","Akpa Akpro","C","M/C","VER","5286","","","unmapped",""
"fc-2848","Frattesi","C","C/T","INT","2848","","","unmapped",""
"fc-7268","Rodriguez Ju.","D","Ds/Dc","CAG","7268","","","unmapped",""
"fc-7253","Bella-Kotchap","D","Dc","VER","7253","","","unmapped",""
"fc-6916","Ahanor","D","B/Ds/E","ATA","6916","","","unmapped",""
"fc-6632","Gaspar K.","D","Dc","LEC","6632","","","unmapped",""
"fc-6202","Beukema","D","Dc","NAP","6202","","","unmapped",""
"fc-6047","Ehizibue","D","Dd/E","UDI","6047","","","unmapped",""
"fc-6046","Hien","D","Dc","ATA","6046","","","unmapped",""
"fc-6013","Barbieri","D","Dd/Ds/E","CRE","6013","","","unmapped",""
"fc-5851","Doig","D","Ds/E","SAS","5851","","","unmapped",""
"fc-5739","De Winter","D","Dd/Dc","MIL","5739","","","unmapped",""
"fc-5435","Moreno Alb.","D","Ds/E","COM","5435","","","unmapped",""
"fc-5307","Valenti","D","Dc","PAR","5307","","","unmapped",""
"fc-4378","Ranieri L.","D","Ds/Dc","FIO","4378","","","unmapped",""
"fc-2653","Lykogiannis","D","Ds/E","BOL","2653","","","unmapped",""
